"Tabela 1849 - Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões de atividades (CNAE 2.0)"
"Variável - Número de unidades locais"
"Nível","Cód.","Unidade da Federação","Ano","Classificação Nacional de Atividades Econômicas (CNAE 2.0)",""
"UF","11","Rondônia","2019","Total","939","Unidades"
"UF","11","Rondônia","2019","B Indústrias extrativas","57","Unidades"
"UF","11","Rondônia","2019","C Indústrias de transformação","882","Unidades"
"UF","11","Rondônia","2019","10 Fabricação de produtos alimentícios","234","Unidades"
"UF","11","Rondônia","2019","20 Fabricação de produtos químicos","23","Unidades"
"UF","11","Rondônia","2019","24 Metalurgia","10","Unidades"
"UF","11","Rondônia","2019","29 Fabricação de veículos automotores, reboques e carrocerias","29","Unidades"
"UF","11","Rondônia","2020","Total","913","Unidades"
"UF","11","Rondônia","2020","B Indústrias extrativas","51","Unidades"
"UF","11","Rondônia","2020","C Indústrias de transformação","862","Unidades"
"UF","11","Rondônia","2020","10 Fabricação de produtos alimentícios","276","Unidades"
"UF","11","Rondônia","2020","20 Fabricação de produtos químicos","27","Unidades"
"UF","11","Rondônia","2020","24 Metalurgia","12","Unidades"
"UF","11","Rondônia","2020","29 Fabricação de veículos automotores, reboques e carrocerias","25","Unidades"
"UF","11","Rondônia","2021","Total","1059","Unidades"
"UF","11","Rondônia","2021","B Indústrias extrativas","61","Unidades"
"UF","11","Rondônia","2021","C Indústrias de transformação","998","Unidades"
"UF","11","Rondônia","2021","10 Fabricação de produtos alimentícios","248","Unidades"
"UF","11","Rondônia","2021","20 Fabricação de produtos químicos","26","Unidades"
"UF","11","Rondônia","2021","24 Metalurgia","12","Unidades"
"UF","11","Rondônia","2021","29 Fabricação de veículos automotores, reboques e carrocerias","16","Unidades"
"UF","11","Rondônia","2022","Total","1131","Unidades"
"UF","11","Rondônia","2022","B Indústrias extrativas","54","Unidades"
"UF","11","Rondônia","2022","C Indústrias de transformação","1077","Unidades"
"UF","11","Rondônia","2022","10 Fabricação de produtos alimentícios","286","Unidades"
"UF","11","Rondônia","2022","20 Fabricação de produtos químicos","26","Unidades"
"UF","11","Rondônia","2022","24 Metalurgia","11","Unidades"
"UF","11","Rondônia","2022","29 Fabricação de veículos automotores, reboques e carrocerias","30","Unidades"
"UF","11","Rondônia","2023","Total","1272","Unidades"
"UF","11","Rondônia","2023","B Indústrias extrativas","77","Unidades"
"UF","11","Rondônia","2023","C Indústrias de transformação","1195","Unidades"
"UF","11","Rondônia","2023","10 Fabricação de produtos alimentícios","348","Unidades"
"UF","11","Rondônia","2023","20 Fabricação de produtos químicos","36","Unidades"
"UF","11","Rondônia","2023","24 Metalurgia","13","Unidades"
