"Tabela 1849 - Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões de atividades (CNAE 2.0)"
"Variável - Número de unidades locais"
"Nível","Cód.","Unidade da Federação","Ano","Classificação Nacional de Atividades Econômicas (CNAE 2.0)",""
"UF","26","Pernambuco","2016","10 Fabricação de produtos alimentícios","74652","Pessoas"
"UF","26","Pernambuco","2016","20 Fabricação de produtos químicos","9996","Pessoas"
"UF","26","Pernambuco","2016","24 Metalurgia","2490","Pessoas"
"UF","26","Pernambuco","2016","29 Fabricação de veículos automotores, reboques e carrocerias","10282","Pessoas"
"UF","26","Pernambuco","2017","Total","197938","Pessoas"
"UF","26","Pernambuco","2017","B Indústrias extrativas","1270","Pessoas"
"UF","26","Pernambuco","2017","C Indústrias de transformação","196668","Pessoas"
"UF","26","Pernambuco","2017","10 Fabricação de produtos alimentícios","69633","Pessoas"
"UF","26","Pernambuco","2017","20 Fabricação de produtos químicos","9823","Pessoas"
"UF","26","Pernambuco","2017","24 Metalurgia","2404","Pessoas"
"UF","26","Pernambuco","2017","29 Fabricação de veículos automotores, reboques e carrocerias","12551","Pessoas"
"UF","26","Pernambuco","2018","Total","200781","Pessoas"
"UF","26","Pernambuco","2018","B Indústrias extrativas","1243","Pessoas"
"UF","26","Pernambuco","2018","C Indústrias de transformação","199538","Pessoas"
"UF","26","Pernambuco","2018","10 Fabricação de produtos alimentícios","68379","Pessoas"
"UF","26","Pernambuco","2018","20 Fabricação de produtos químicos","9137","Pessoas"
"UF","26","Pernambuco","2018","24 Metalurgia","2233","Pessoas"
"UF","26","Pernambuco","2018","29 Fabricação de veículos automotores, reboques e carrocerias","13592","Pessoas"
"UF","26","Pernambuco","2019","Total","190552","Pessoas"
"UF","26","Pernambuco","2019","B Indústrias extrativas","1434","Pessoas"
"UF","26","Pernambuco","2019","C Indústrias de transformação","189118","Pessoas"
"UF","26","Pernambuco","2019","10 Fabricação de produtos alimentícios","66064","Pessoas"
"UF","26","Pernambuco","2019","20 Fabricação de produtos químicos","9635","Pessoas"
"UF","26","Pernambuco","2019","24 Metalurgia","2162","Pessoas"
"UF","26","Pernambuco","2019","29 Fabricação de veículos automotores, reboques e carrocerias","13484","Pessoas"
"UF","26","Pernambuco","2020","Total","190464","Pessoas"
"UF","26","Pernambuco","2020","B Indústrias extrativas","1354","Pessoas"
"UF","26","Pernambuco","2020","C Indústrias de transformação","189110","Pessoas"
"UF","26","Pernambuco","2020","10 Fabricação de produtos alimentícios","70372","Pessoas"
"UF","26","Pernambuco","2020","20 Fabricação de produtos químicos","9593","Pessoas"
"UF","26","Pernambuco","2020","24 Metalurgia","2339","Pessoas"
"UF","26","Pernambuco","2020","29 Fabricação de veículos automotores, reboques e carrocerias","13323","Pessoas"
"UF","26","Pernambuco","2021","Total","198790","Pessoas"
"UF","26","Pernambuco","2021","B Indústrias extrativas","1591","Pessoas"
"UF","26","Pernambuco","2021","C Indústrias de transformação","197199","Pessoas"
"UF","26","Pernambuco","2021","10 Fabricação de produtos alimentícios","70400","Pessoas"
"UF","26","Pernambuco","2021","20 Fabricação de produtos químicos","9137","Pessoas"
"UF","26","Pernambuco","2021","24 Metalurgia","2400","Pessoas"
"UF","26","Pernambuco","2021","29 Fabricação de veículos automotores, reboques e carrocerias","15222","Pessoas"
"UF","26","Pernambuco","2022","Total","204360","Pessoas"
"UF","26","Pernambuco","2022","B Indústrias extrativas","1670","Pessoas"
"UF","26","Pernambuco","2022","C Indústrias de transformação","202690","Pessoas"
"UF","26","Pernambuco","2022","10 Fabricação de produtos alimentícios","71228","Pessoas"
"UF","26","Pernambuco","2022","20 Fabricação de produtos químicos","9823","Pessoas"
"UF","26","Pernambuco","2022","24 Metalurgia","2565","Pessoas"
"UF","26","Pernambuco","2022","29 Fabricação de veículos automotores, reboques e carrocerias","15702","Pessoas"
"UF","26","Pernambuco","2023","Total","208711","Pessoas"
"UF","26","Pernambuco","2023","B Indústrias extrativas","1716","Pessoas"
"UF","26","Pernambuco","2023","C Indústrias de transformação","206995","Pessoas"
"UF","26","Pernambuco","2023","10 Fabricação de produtos alimentícios","72396","Pessoas"
"UF","26","Pernambuco","2023","20 Fabricação de produtos químicos","9724","Pessoas"
"UF","26","Pernambuco","2023","24 Metalurgia","2611","Pessoas"
"UF","26","Pernambuco","2023","29 Fabricação de veículos automotores, reboques e carrocerias","15311","Pessoas"
"UF","27","Alagoas","2007","Total","100519","Pessoas"
"UF","27","Alagoas","2007","B Indústrias extrativas","579","Pessoas"
"UF","27","Alagoas","2007","C Indústrias de transformação","99940","Pessoas"
"UF","27","Alagoas","2007","10 Fabricação de produtos alimentícios","81271","Pessoas"
"UF","27","Alagoas","2007","20 Fabricação de produtos químicos","1205","Pessoas"
"UF","27","Alagoas","2007","24 Metalurgia","X","Pessoas"
"UF","27","Alagoas","2007","29 Fabricação de veículos automotores, reboques e carrocerias","253","Pessoas"
"UF","27","Alagoas","2008","Total","102222","Pessoas"
"UF","27","Alagoas","2008","B Indústrias extrativas","442","Pessoas"
"UF","27","Alagoas","2008","C Indústrias de transformação","101780","Pessoas"
"UF","27","Alagoas","2008","10 Fabricação de produtos alimentícios","82004","Pessoas"
"UF","27","Alagoas","2008","20 Fabricação de produtos químicos","1195","Pessoas"
"UF","27","Alagoas","2008","24 Metalurgia","X","Pessoas"
"UF","27","Alagoas","2008","29 Fabricação de veículos automotores, reboques e carrocerias","243","Pessoas"
"UF","27","Alagoas","2009","Total","102802","Pessoas"
"UF","27","Alagoas","2009","B Indústrias extrativas","452","Pessoas"
"UF","27","Alagoas","2009","C Indústrias de transformação","102350","Pessoas"
"UF","27","Alagoas","2009","10 Fabricação de produtos alimentícios","82888","Pessoas"
"UF","27","Alagoas","2009","20 Fabricação de produtos químicos","944","Pessoas"
"UF","27","Alagoas","2009","24 Metalurgia","X","Pessoas"
"UF","27","Alagoas","2009","29 Fabricação de veículos automotores, reboques e carrocerias","301","Pessoas"
"UF","27","Alagoas","2010","Total","105602","Pessoas"
"UF","27","Alagoas","2010","B Indústrias extrativas","626","Pessoas"
"UF","27","Alagoas","2010","C Indústrias de transformação","104976","Pessoas"
"UF","27","Alagoas","2010","10 Fabricação de produtos alimentícios","86014","Pessoas"
"UF","27","Alagoas","2010","20 Fabricação de produtos químicos","1101","Pessoas"
"UF","27","Alagoas","2010","24 Metalurgia","75","Pessoas"
"UF","27","Alagoas","2010","29 Fabricação de veículos automotores, reboques e carrocerias","308","Pessoas"
"UF","27","Alagoas","2011","Total","106661","Pessoas"
"UF","27","Alagoas","2011","B Indústrias extrativas","457","Pessoas"
"UF","27","Alagoas","2011","C Indústrias de transformação","106204","Pessoas"
"UF","27","Alagoas","2011","10 Fabricação de produtos alimentícios","84834","Pessoas"
"UF","27","Alagoas","2011","20 Fabricação de produtos químicos","1184","Pessoas"
"UF","27","Alagoas","2011","24 Metalurgia","62","Pessoas"
"UF","27","Alagoas","2011","29 Fabricação de veículos automotores, reboques e carrocerias","328","Pessoas"
"UF","27","Alagoas","2012","Total","98360","Pessoas"
"UF","27","Alagoas","2012","B Indústrias extrativas","495","Pessoas"
"UF","27","Alagoas","2012","C Indústrias de transformação","97865","Pessoas"
"UF","27","Alagoas","2012","10 Fabricação de produtos alimentícios","79371","Pessoas"
"UF","27","Alagoas","2012","20 Fabricação de produtos químicos","1349","Pessoas"
"UF","27","Alagoas","2012","24 Metalurgia","83","Pessoas"
"UF","27","Alagoas","2012","29 Fabricação de veículos automotores, reboques e carrocerias","206","Pessoas"
"UF","27","Alagoas","2013","Total","89365","Pessoas"
"UF","27","Alagoas","2013","B Indústrias extrativas","624","Pessoas"
"UF","27","Alagoas","2013","C Indústrias de transformação","88741","Pessoas"
"UF","27","Alagoas","2013","10 Fabricação de produtos alimentícios","68351","Pessoas"
"UF","27","Alagoas","2013","20 Fabricação de produtos químicos","1317","Pessoas"
"UF","27","Alagoas","2013","24 Metalurgia","369","Pessoas"
"UF","27","Alagoas","2013","29 Fabricação de veículos automotores, reboques e carrocerias","268","Pessoas"
"UF","27","Alagoas","2014","Total","81197","Pessoas"
"UF","27","Alagoas","2014","B Indústrias extrativas","539","Pessoas"
"UF","27","Alagoas","2014","C Indústrias de transformação","80658","Pessoas"
"UF","27","Alagoas","2014","10 Fabricação de produtos alimentícios","62628","Pessoas"
"UF","27","Alagoas","2014","20 Fabricação de produtos químicos","1374","Pessoas"
"UF","27","Alagoas","2014","24 Metalurgia","223","Pessoas"
"UF","27","Alagoas","2014","29 Fabricação de veículos automotores, reboques e carrocerias","431","Pessoas"
"UF","27","Alagoas","2015","Total","74103","Pessoas"
"UF","27","Alagoas","2015","B Indústrias extrativas","504","Pessoas"
"UF","27","Alagoas","2015","C Indústrias de transformação","73599","Pessoas"
"UF","27","Alagoas","2015","10 Fabricação de produtos alimentícios","53819","Pessoas"
"UF","27","Alagoas","2015","20 Fabricação de produtos químicos","1173","Pessoas"
"UF","27","Alagoas","2015","24 Metalurgia","134","Pessoas"
"UF","27","Alagoas","2015","29 Fabricação de veículos automotores, reboques e carrocerias","369","Pessoas"
"UF","27","Alagoas","2016","Total","68348","Pessoas"
"UF","27","Alagoas","2016","B Indústrias extrativas","729","Pessoas"
"UF","27","Alagoas","2016","C Indústrias de transformação","67619","Pessoas"
"UF","27","Alagoas","2016","10 Fabricação de produtos alimentícios","54278","Pessoas"
"UF","27","Alagoas","2016","20 Fabricação de produtos químicos","1196","Pessoas"
"UF","27","Alagoas","2016","24 Metalurgia","112","Pessoas"
"UF","27","Alagoas","2016","29 Fabricação de veículos automotores, reboques e carrocerias","335","Pessoas"
"UF","27","Alagoas","2017","Total","67840","Pessoas"
"UF","27","Alagoas","2017","B Indústrias extrativas","834","Pessoas"
"UF","27","Alagoas","2017","C Indústrias de transformação","67006","Pessoas"
"UF","27","Alagoas","2017","10 Fabricação de produtos alimentícios","53856","Pessoas"
"UF","27","Alagoas","2017","20 Fabricação de produtos químicos","1581","Pessoas"
"UF","27","Alagoas","2017","24 Metalurgia","96","Pessoas"
"UF","27","Alagoas","2017","29 Fabricação de veículos automotores, reboques e carrocerias","212","Pessoas"
"UF","27","Alagoas","2018","Total","61907","Pessoas"
"UF","27","Alagoas","2018","B Indústrias extrativas","615","Pessoas"
"UF","27","Alagoas","2018","C Indústrias de transformação","61292","Pessoas"
"UF","27","Alagoas","2018","10 Fabricação de produtos alimentícios","39791","Pessoas"
"UF","27","Alagoas","2018","20 Fabricação de produtos químicos","1614","Pessoas"
"UF","27","Alagoas","2018","24 Metalurgia","93","Pessoas"
"UF","27","Alagoas","2018","29 Fabricação de veículos automotores, reboques e carrocerias","179","Pessoas"
"UF","27","Alagoas","2019","Total","61280","Pessoas"
"UF","27","Alagoas","2019","B Indústrias extrativas","456","Pessoas"
"UF","27","Alagoas","2019","C Indústrias de transformação","60824","Pessoas"
"UF","27","Alagoas","2019","10 Fabricação de produtos alimentícios","40316","Pessoas"
"UF","27","Alagoas","2019","20 Fabricação de produtos químicos","1627","Pessoas"
"UF","27","Alagoas","2019","24 Metalurgia","103","Pessoas"
"UF","27","Alagoas","2019","29 Fabricação de veículos automotores, reboques e carrocerias","187","Pessoas"
"UF","27","Alagoas","2020","Total","59209","Pessoas"
"UF","27","Alagoas","2020","B Indústrias extrativas","458","Pessoas"
"UF","27","Alagoas","2020","C Indústrias de transformação","58751","Pessoas"
"UF","27","Alagoas","2020","10 Fabricação de produtos alimentícios","43939","Pessoas"
"UF","27","Alagoas","2020","20 Fabricação de produtos químicos","1867","Pessoas"
"UF","27","Alagoas","2020","24 Metalurgia","142","Pessoas"
"UF","27","Alagoas","2020","29 Fabricação de veículos automotores, reboques e carrocerias","128","Pessoas"
"UF","27","Alagoas","2021","Total","63645","Pessoas"
"UF","27","Alagoas","2021","B Indústrias extrativas","831","Pessoas"
"UF","27","Alagoas","2021","C Indústrias de transformação","62814","Pessoas"
"UF","27","Alagoas","2021","10 Fabricação de produtos alimentícios","47032","Pessoas"
"UF","27","Alagoas","2021","20 Fabricação de produtos químicos","2188","Pessoas"
"UF","27","Alagoas","2021","24 Metalurgia","143","Pessoas"
"UF","27","Alagoas","2021","29 Fabricação de veículos automotores, reboques e carrocerias","147","Pessoas"
"UF","27","Alagoas","2022","Total","65919","Pessoas"
"UF","27","Alagoas","2022","B Indústrias extrativas","1496","Pessoas"
"UF","27","Alagoas","2022","C Indústrias de transformação","64423","Pessoas"
"UF","27","Alagoas","2022","10 Fabricação de produtos alimentícios","48976","Pessoas"
"UF","27","Alagoas","2022","20 Fabricação de produtos químicos","2305","Pessoas"
"UF","27","Alagoas","2022","24 Metalurgia","152","Pessoas"
"UF","27","Alagoas","2022","29 Fabricação de veículos automotores, reboques e carrocerias","194","Pessoas"
"UF","27","Alagoas","2023","Total","69462","Pessoas"
"UF","27","Alagoas","2023","B Indústrias extrativas","1872","Pessoas"
"UF","27","Alagoas","2023","C Indústrias de transformação","67590","Pessoas"
"UF","27","Alagoas","2023","10 Fabricação de produtos alimentícios","50722","Pessoas"
"UF","27","Alagoas","2023","20 Fabricação de produtos químicos","2565","Pessoas"
"UF","27","Alagoas","2023","24 Metalurgia","174","Pessoas"
"UF","27","Alagoas","2023","29 Fabricação de veículos automotores, reboques e carrocerias","199","Pessoas"
"UF","28","Sergipe","2007","Total","35221","Pessoas"
"UF","28","Sergipe","2007","B Indústrias extrativas","4574","Pessoas"
"UF","28","Sergipe","2007","C Indústrias de transformação","30647","Pessoas"
"UF","28","Sergipe","2007","10 Fabricação de produtos alimentícios","6763","Pessoas"
"UF","28","Sergipe","2007","20 Fabricação de produtos químicos","914","Pessoas"
"UF","28","Sergipe","2007","24 Metalurgia","22","Pessoas"
"UF","28","Sergipe","2007","29 Fabricação de veículos automotores, reboques e carrocerias","411","Pessoas"
"UF","28","Sergipe","2008","Total","36227","Pessoas"
"UF","28","Sergipe","2008","B Indústrias extrativas","4837","Pessoas"
"UF","28","Sergipe","2008","C Indústrias de transformação","31390","Pessoas"
"UF","28","Sergipe","2008","10 Fabricação de produtos alimentícios","8279","Pessoas"
"UF","28","Sergipe","2008","20 Fabricação de produtos químicos","814","Pessoas"
"UF","28","Sergipe","2008","24 Metalurgia","39","Pessoas"
"UF","28","Sergipe","2008","29 Fabricação de veículos automotores, reboques e carrocerias","452","Pessoas"
"UF","28","Sergipe","2009","Total","41043","Pessoas"
"UF","28","Sergipe","2009","B Indústrias extrativas","5046","Pessoas"
"UF","28","Sergipe","2009","C Indústrias de transformação","35997","Pessoas"
"UF","28","Sergipe","2009","10 Fabricação de produtos alimentícios","9138","Pessoas"
"UF","28","Sergipe","2009","20 Fabricação de produtos químicos","1007","Pessoas"
"UF","28","Sergipe","2009","24 Metalurgia","44","Pessoas"
"UF","28","Sergipe","2009","29 Fabricação de veículos automotores, reboques e carrocerias","336","Pessoas"
"UF","28","Sergipe","2010","Total","41336","Pessoas"
"UF","28","Sergipe","2010","B Indústrias extrativas","5164","Pessoas"
"UF","28","Sergipe","2010","C Indústrias de transformação","36172","Pessoas"
"UF","28","Sergipe","2010","10 Fabricação de produtos alimentícios","9065","Pessoas"
"UF","28","Sergipe","2010","20 Fabricação de produtos químicos","1014","Pessoas"
"UF","28","Sergipe","2010","24 Metalurgia","25","Pessoas"
"UF","28","Sergipe","2010","29 Fabricação de veículos automotores, reboques e carrocerias","371","Pessoas"
"UF","28","Sergipe","2011","Total","45552","Pessoas"
"UF","28","Sergipe","2011","B Indústrias extrativas","4631","Pessoas"
"UF","28","Sergipe","2011","C Indústrias de transformação","40921","Pessoas"
"UF","28","Sergipe","2011","10 Fabricação de produtos alimentícios","9466","Pessoas"
"UF","28","Sergipe","2011","20 Fabricação de produtos químicos","983","Pessoas"
"UF","28","Sergipe","2011","24 Metalurgia","56","Pessoas"
"UF","28","Sergipe","2011","29 Fabricação de veículos automotores, reboques e carrocerias","436","Pessoas"
"UF","28","Sergipe","2012","Total","48410","Pessoas"
"UF","28","Sergipe","2012","B Indústrias extrativas","4944","Pessoas"
"UF","28","Sergipe","2012","C Indústrias de transformação","43466","Pessoas"
"UF","28","Sergipe","2012","10 Fabricação de produtos alimentícios","9507","Pessoas"
"UF","28","Sergipe","2012","20 Fabricação de produtos químicos","1042","Pessoas"
"UF","28","Sergipe","2012","24 Metalurgia","70","Pessoas"
"UF","28","Sergipe","2012","29 Fabricação de veículos automotores, reboques e carrocerias","516","Pessoas"
"UF","28","Sergipe","2013","Total","50316","Pessoas"
"UF","28","Sergipe","2013","B Indústrias extrativas","4209","Pessoas"
"UF","28","Sergipe","2013","C Indústrias de transformação","46107","Pessoas"
"UF","28","Sergipe","2013","10 Fabricação de produtos alimentícios","11016","Pessoas"
"UF","28","Sergipe","2013","20 Fabricação de produtos químicos","2009","Pessoas"
"UF","28","Sergipe","2013","24 Metalurgia","111","Pessoas"
"UF","28","Sergipe","2013","29 Fabricação de veículos automotores, reboques e carrocerias","771","Pessoas"
"UF","28","Sergipe","2014","Total","49325","Pessoas"
"UF","28","Sergipe","2014","B Indústrias extrativas","3728","Pessoas"
"UF","28","Sergipe","2014","C Indústrias de transformação","45597","Pessoas"
"UF","28","Sergipe","2014","10 Fabricação de produtos alimentícios","11314","Pessoas"
"UF","28","Sergipe","2014","20 Fabricação de produtos químicos","1955","Pessoas"
"UF","28","Sergipe","2014","24 Metalurgia","174","Pessoas"
"UF","28","Sergipe","2014","29 Fabricação de veículos automotores, reboques e carrocerias","880","Pessoas"
"UF","28","Sergipe","2015","Total","49879","Pessoas"
"UF","28","Sergipe","2015","B Indústrias extrativas","3385","Pessoas"
"UF","28","Sergipe","2015","C Indústrias de transformação","46494","Pessoas"
"UF","28","Sergipe","2015","10 Fabricação de produtos alimentícios","13256","Pessoas"
"UF","28","Sergipe","2015","20 Fabricação de produtos químicos","1882","Pessoas"
"UF","28","Sergipe","2015","24 Metalurgia","199","Pessoas"
"UF","28","Sergipe","2015","29 Fabricação de veículos automotores, reboques e carrocerias","2743","Pessoas"
"UF","28","Sergipe","2016","Total","43391","Pessoas"
"UF","28","Sergipe","2016","B Indústrias extrativas","2788","Pessoas"
"UF","28","Sergipe","2016","C Indústrias de transformação","40603","Pessoas"
"UF","28","Sergipe","2016","10 Fabricação de produtos alimentícios","10917","Pessoas"
"UF","28","Sergipe","2016","20 Fabricação de produtos químicos","1824","Pessoas"
"UF","28","Sergipe","2016","24 Metalurgia","204","Pessoas"
"UF","28","Sergipe","2016","29 Fabricação de veículos automotores, reboques e carrocerias","2398","Pessoas"
"UF","28","Sergipe","2017","Total","43552","Pessoas"
"UF","28","Sergipe","2017","B Indústrias extrativas","2713","Pessoas"
"UF","28","Sergipe","2017","C Indústrias de transformação","40839","Pessoas"
"UF","28","Sergipe","2017","10 Fabricação de produtos alimentícios","11769","Pessoas"
"UF","28","Sergipe","2017","20 Fabricação de produtos químicos","1887","Pessoas"
"UF","28","Sergipe","2017","24 Metalurgia","188","Pessoas"
"UF","28","Sergipe","2017","29 Fabricação de veículos automotores, reboques e carrocerias","2630","Pessoas"
"UF","28","Sergipe","2018","Total","42627","Pessoas"
"UF","28","Sergipe","2018","B Indústrias extrativas","2245","Pessoas"
"UF","28","Sergipe","2018","C Indústrias de transformação","40382","Pessoas"
"UF","28","Sergipe","2018","10 Fabricação de produtos alimentícios","11696","Pessoas"
"UF","28","Sergipe","2018","20 Fabricação de produtos químicos","1607","Pessoas"
"UF","28","Sergipe","2018","24 Metalurgia","182","Pessoas"
"UF","28","Sergipe","2018","29 Fabricação de veículos automotores, reboques e carrocerias","2573","Pessoas"
"UF","28","Sergipe","2019","Total","40614","Pessoas"
"UF","28","Sergipe","2019","B Indústrias extrativas","2200","Pessoas"
"UF","28","Sergipe","2019","C Indústrias de transformação","38414","Pessoas"
"UF","28","Sergipe","2019","10 Fabricação de produtos alimentícios","11432","Pessoas"
"UF","28","Sergipe","2019","20 Fabricação de produtos químicos","1521","Pessoas"
"UF","28","Sergipe","2019","24 Metalurgia","185","Pessoas"
"UF","28","Sergipe","2019","29 Fabricação de veículos automotores, reboques e carrocerias","2694","Pessoas"
"UF","28","Sergipe","2020","Total","41162","Pessoas"
"UF","28","Sergipe","2020","B Indústrias extrativas","1496","Pessoas"
"UF","28","Sergipe","2020","C Indústrias de transformação","39666","Pessoas"
"UF","28","Sergipe","2020","10 Fabricação de produtos alimentícios","11493","Pessoas"
"UF","28","Sergipe","2020","20 Fabricação de produtos químicos","1814","Pessoas"
"UF","28","Sergipe","2020","24 Metalurgia","194","Pessoas"
"UF","28","Sergipe","2020","29 Fabricação de veículos automotores, reboques e carrocerias","2737","Pessoas"
"UF","28","Sergipe","2021","Total","39143","Pessoas"
"UF","28","Sergipe","2021","B Indústrias extrativas","1061","Pessoas"
"UF","28","Sergipe","2021","C Indústrias de transformação","38082","Pessoas"
"UF","28","Sergipe","2021","10 Fabricação de produtos alimentícios","10518","Pessoas"
"UF","28","Sergipe","2021","20 Fabricação de produtos químicos","1241","Pessoas"
"UF","28","Sergipe","2021","24 Metalurgia","178","Pessoas"
"UF","28","Sergipe","2021","29 Fabricação de veículos automotores, reboques e carrocerias","1815","Pessoas"
"UF","28","Sergipe","2022","Total","40135","Pessoas"
"UF","28","Sergipe","2022","B Indústrias extrativas","1151","Pessoas"
"UF","28","Sergipe","2022","C Indústrias de transformação","38984","Pessoas"
"UF","28","Sergipe","2022","10 Fabricação de produtos alimentícios","11772","Pessoas"
"UF","28","Sergipe","2022","20 Fabricação de produtos químicos","2149","Pessoas"
"UF","28","Sergipe","2022","24 Metalurgia","225","Pessoas"
"UF","28","Sergipe","2022","29 Fabricação de veículos automotores, reboques e carrocerias","1177","Pessoas"
"UF","28","Sergipe","2023","Total","43430","Pessoas"
"UF","28","Sergipe","2023","B Indústrias extrativas","1917","Pessoas"
"UF","28","Sergipe","2023","C Indústrias de transformação","41513","Pessoas"
"UF","28","Sergipe","2023","10 Fabricação de produtos alimentícios","12239","Pessoas"
"UF","28","Sergipe","2023","20 Fabricação de produtos químicos","2125","Pessoas"
"UF","28","Sergipe","2023","24 Metalurgia","213","Pessoas"
"UF","28","Sergipe","2023","29 Fabricação de veículos automotores, reboques e carrocerias","1254","Pessoas"
"UF","29","Bahia","2007","Total","187506","Pessoas"
"UF","29","Bahia","2007","B Indústrias extrativas","10979","Pessoas"
"UF","29","Bahia","2007","C Indústrias de transformação","176527","Pessoas"
"UF","29","Bahia","2007","10 Fabricação de produtos alimentícios","24971","Pessoas"
"UF","29","Bahia","2007","20 Fabricação de produtos químicos","11600","Pessoas"
"UF","29","Bahia","2007","24 Metalurgia","5451","Pessoas"
"UF","29","Bahia","2007","29 Fabricação de veículos automotores, reboques e carrocerias","8694","Pessoas"
"UF","29","Bahia","2008","Total","199158","Pessoas"
"UF","29","Bahia","2008","B Indústrias extrativas","12312","Pessoas"
"UF","29","Bahia","2008","C Indústrias de transformação","186846","Pessoas"
"UF","29","Bahia","2008","10 Fabricação de produtos alimentícios","27555","Pessoas"
"UF","29","Bahia","2008","20 Fabricação de produtos químicos","11512","Pessoas"
"UF","29","Bahia","2008","24 Metalurgia","5426","Pessoas"
"UF","29","Bahia","2008","29 Fabricação de veículos automotores, reboques e carrocerias","8912","Pessoas"
"UF","29","Bahia","2009","Total","206123","Pessoas"
"UF","29","Bahia","2009","B Indústrias extrativas","11105","Pessoas"
"UF","29","Bahia","2009","C Indústrias de transformação","195017","Pessoas"
"UF","29","Bahia","2009","10 Fabricação de produtos alimentícios","31452","Pessoas"
"UF","29","Bahia","2009","20 Fabricação de produtos químicos","11075","Pessoas"
"UF","29","Bahia","2009","24 Metalurgia","5508","Pessoas"
"UF","29","Bahia","2009","29 Fabricação de veículos automotores, reboques e carrocerias","8472","Pessoas"
"UF","29","Bahia","2010","Total","231801","Pessoas"
"UF","29","Bahia","2010","B Indústrias extrativas","12179","Pessoas"
"UF","29","Bahia","2010","C Indústrias de transformação","219622","Pessoas"
"UF","29","Bahia","2010","10 Fabricação de produtos alimentícios","34350","Pessoas"
"UF","29","Bahia","2010","20 Fabricação de produtos químicos","12082","Pessoas"
"UF","29","Bahia","2010","24 Metalurgia","5395","Pessoas"
"UF","29","Bahia","2010","29 Fabricação de veículos automotores, reboques e carrocerias","9416","Pessoas"
"UF","29","Bahia","2011","Total","246721","Pessoas"
"UF","29","Bahia","2011","B Indústrias extrativas","14524","Pessoas"
"UF","29","Bahia","2011","C Indústrias de transformação","232197","Pessoas"
"UF","29","Bahia","2011","10 Fabricação de produtos alimentícios","41870","Pessoas"
"UF","29","Bahia","2011","20 Fabricação de produtos químicos","12347","Pessoas"
"UF","29","Bahia","2011","24 Metalurgia","6975","Pessoas"
"UF","29","Bahia","2011","29 Fabricação de veículos automotores, reboques e carrocerias","9146","Pessoas"
"UF","29","Bahia","2012","Total","235291","Pessoas"
"UF","29","Bahia","2012","B Indústrias extrativas","16155","Pessoas"
"UF","29","Bahia","2012","C Indústrias de transformação","219136","Pessoas"
"UF","29","Bahia","2012","10 Fabricação de produtos alimentícios","37741","Pessoas"
"UF","29","Bahia","2012","20 Fabricação de produtos químicos","12519","Pessoas"
"UF","29","Bahia","2012","24 Metalurgia","5889","Pessoas"
"UF","29","Bahia","2012","29 Fabricação de veículos automotores, reboques e carrocerias","10488","Pessoas"
"UF","29","Bahia","2013","Total","245961","Pessoas"
"UF","29","Bahia","2013","B Indústrias extrativas","15231","Pessoas"
"UF","29","Bahia","2013","C Indústrias de transformação","230730","Pessoas"
"UF","29","Bahia","2013","10 Fabricação de produtos alimentícios","38806","Pessoas"
"UF","29","Bahia","2013","20 Fabricação de produtos químicos","13025","Pessoas"
"UF","29","Bahia","2013","24 Metalurgia","5904","Pessoas"
"UF","29","Bahia","2013","29 Fabricação de veículos automotores, reboques e carrocerias","10370","Pessoas"
"UF","29","Bahia","2014","Total","238026","Pessoas"
"UF","29","Bahia","2014","B Indústrias extrativas","14538","Pessoas"
"UF","29","Bahia","2014","C Indústrias de transformação","223488","Pessoas"
"UF","29","Bahia","2014","10 Fabricação de produtos alimentícios","39510","Pessoas"
"UF","29","Bahia","2014","20 Fabricação de produtos químicos","13313","Pessoas"
"UF","29","Bahia","2014","24 Metalurgia","5983","Pessoas"
"UF","29","Bahia","2014","29 Fabricação de veículos automotores, reboques e carrocerias","9082","Pessoas"
"UF","29","Bahia","2015","Total","230923","Pessoas"
"UF","29","Bahia","2015","B Indústrias extrativas","13568","Pessoas"
"UF","29","Bahia","2015","C Indústrias de transformação","217355","Pessoas"
"UF","29","Bahia","2015","10 Fabricação de produtos alimentícios","42624","Pessoas"
"UF","29","Bahia","2015","20 Fabricação de produtos químicos","12385","Pessoas"
"UF","29","Bahia","2015","24 Metalurgia","5591","Pessoas"
"UF","29","Bahia","2015","29 Fabricação de veículos automotores, reboques e carrocerias","9499","Pessoas"
"UF","29","Bahia","2016","Total","212514","Pessoas"
"UF","29","Bahia","2016","B Indústrias extrativas","11588","Pessoas"
"UF","29","Bahia","2016","C Indústrias de transformação","200926","Pessoas"
"UF","29","Bahia","2016","10 Fabricação de produtos alimentícios","38696","Pessoas"
"UF","29","Bahia","2016","20 Fabricação de produtos químicos","12103","Pessoas"
"UF","29","Bahia","2016","24 Metalurgia","5007","Pessoas"
"UF","29","Bahia","2016","29 Fabricação de veículos automotores, reboques e carrocerias","8058","Pessoas"
"UF","29","Bahia","2017","Total","214550","Pessoas"
"UF","29","Bahia","2017","B Indústrias extrativas","11367","Pessoas"
"UF","29","Bahia","2017","C Indústrias de transformação","203183","Pessoas"
"UF","29","Bahia","2017","10 Fabricação de produtos alimentícios","41676","Pessoas"
"UF","29","Bahia","2017","20 Fabricação de produtos químicos","12311","Pessoas"
"UF","29","Bahia","2017","24 Metalurgia","5342","Pessoas"
