UF,Cód_IBGE,Ano,Setor,Valor,Variável
Rondônia,11,2019,B Indústrias extrativas,57.0,Número de unidades locais
Rondônia,11,2019,C Indústrias de transformação,882.0,Número de unidades locais
Rondônia,11,2019,10 Fabricação de produtos alimentícios,234.0,Número de unidades locais
Rondônia,11,2019,20 Fabricação de produtos químicos,23.0,Número de unidades locais
Rondônia,11,2019,24 Metalurgia,10.0,Número de unidades locais
Rondônia,11,2019,"29 Fabricação de veículos automotores, reboques e carrocerias",29.0,Número de unidades locais
Rondônia,11,2020,Total,913.0,Número de unidades locais
Rondônia,11,2020,B Indústrias extrativas,51.0,Número de unidades locais
Rondônia,11,2020,C Indústrias de transformação,862.0,Número de unidades locais
Rondônia,11,2020,10 Fabricação de produtos alimentícios,276.0,Número de unidades locais
Rondônia,11,2020,20 Fabricação de produtos químicos,27.0,Número de unidades locais
Rondônia,11,2020,24 Metalurgia,12.0,Número de unidades locais
Rondônia,11,2020,"29 Fabricação de veículos automotores, reboques e carrocerias",25.0,Número de unidades locais
Rondônia,11,2021,Total,1059.0,Número de unidades locais
Rondônia,11,2021,B Indústrias extrativas,61.0,Número de unidades locais
Rondônia,11,2021,C Indústrias de transformação,998.0,Número de unidades locais
Rondônia,11,2021,10 Fabricação de produtos alimentícios,248.0,Número de unidades locais
Rondônia,11,2021,20 Fabricação de produtos químicos,26.0,Número de unidades locais
Rondônia,11,2021,24 Metalurgia,12.0,Número de unidades locais
Rondônia,11,2021,"29 Fabricação de veículos automotores, reboques e carrocerias",16.0,Número de unidades locais
Rondônia,11,2022,Total,1131.0,Número de unidades locais
Rondônia,11,2022,B Indústrias extrativas,54.0,Número de unidades locais
Rondônia,11,2022,C Indústrias de transformação,1077.0,Número de unidades locais
Rondônia,11,2022,10 Fabricação de produtos alimentícios,286.0,Número de unidades locais
Rondônia,11,2022,20 Fabricação de produtos químicos,26.0,Número de unidades locais
Rondônia,11,2022,24 Metalurgia,11.0,Número de unidades locais
Rondônia,11,2022,"29 Fabricação de veículos automotores, reboques e carrocerias",30.0,Número de unidades locais
Rondônia,11,2023,Total,1272.0,Número de unidades locais
Rondônia,11,2023,B Indústrias extrativas,77.0,Número de unidades locais
Rondônia,11,2023,C Indústrias de transformação,1195.0,Número de unidades locais
Rondônia,11,2023,10 Fabricação de produtos alimentícios,348.0,Número de unidades locais
Rondônia,11,2023,20 Fabricação de produtos químicos,36.0,Número de unidades locais
Rondônia,11,2023,24 Metalurgia,13.0,Número de unidades locais
Rondônia,11,2023,"29 Fabricação de veículos automotores, reboques e carrocerias",28.0,Número de unidades locais
Acre,12,2007,Total,190.0,Número de unidades locais
Acre,12,2007,B Indústrias extrativas,4.0,Número de unidades locais
Acre,12,2007,C Indústrias de transformação,186.0,Número de unidades locais
Acre,12,2007,10 Fabricação de produtos alimentícios,43.0,Número de unidades locais
Acre,12,2007,20 Fabricação de produtos químicos,4.0,Número de unidades locais
Acre,12,2007,24 Metalurgia,,Número de unidades locais
Acre,12,2007,"29 Fabricação de veículos automotores, reboques e carrocerias",3.0,Número de unidades locais
Acre,12,2008,Total,213.0,Número de unidades locais
Acre,12,2008,B Indústrias extrativas,6.0,Número de unidades locais
Acre,12,2008,C Indústrias de transformação,207.0,Número de unidades locais
Acre,12,2008,10 Fabricação de produtos alimentícios,54.0,Número de unidades locais
Acre,12,2008,20 Fabricação de produtos químicos,3.0,Número de unidades locais
Acre,12,2008,24 Metalurgia,,Número de unidades locais
Acre,12,2008,"29 Fabricação de veículos automotores, reboques e carrocerias",4.0,Número de unidades locais
Acre,12,2009,Total,231.0,Número de unidades locais
Acre,12,2009,B Indústrias extrativas,6.0,Número de unidades locais
Acre,12,2009,C Indústrias de transformação,225.0,Número de unidades locais
Acre,12,2009,10 Fabricação de produtos alimentícios,55.0,Número de unidades locais
Acre,12,2009,20 Fabricação de produtos químicos,6.0,Número de unidades locais
Acre,12,2009,24 Metalurgia,1.0,Número de unidades locais
Acre,12,2009,"29 Fabricação de veículos automotores, reboques e carrocerias",5.0,Número de unidades locais
Acre,12,2010,Total,228.0,Número de unidades locais
Acre,12,2010,B Indústrias extrativas,5.0,Número de unidades locais
Acre,12,2010,C Indústrias de transformação,223.0,Número de unidades locais
Acre,12,2010,10 Fabricação de produtos alimentícios,49.0,Número de unidades locais
Acre,12,2010,20 Fabricação de produtos químicos,6.0,Número de unidades locais
Acre,12,2010,24 Metalurgia,1.0,Número de unidades locais
Acre,12,2010,"29 Fabricação de veículos automotores, reboques e carrocerias",5.0,Número de unidades locais
Acre,12,2011,Total,275.0,Número de unidades locais
Acre,12,2011,B Indústrias extrativas,7.0,Número de unidades locais
Acre,12,2011,C Indústrias de transformação,268.0,Número de unidades locais
Acre,12,2011,10 Fabricação de produtos alimentícios,80.0,Número de unidades locais
Acre,12,2011,20 Fabricação de produtos químicos,5.0,Número de unidades locais
Acre,12,2011,24 Metalurgia,1.0,Número de unidades locais
Acre,12,2011,"29 Fabricação de veículos automotores, reboques e carrocerias",6.0,Número de unidades locais
Acre,12,2012,Total,242.0,Número de unidades locais
Acre,12,2012,B Indústrias extrativas,2.0,Número de unidades locais
Acre,12,2012,C Indústrias de transformação,240.0,Número de unidades locais
Acre,12,2012,10 Fabricação de produtos alimentícios,70.0,Número de unidades locais
Acre,12,2012,20 Fabricação de produtos químicos,3.0,Número de unidades locais
Acre,12,2012,24 Metalurgia,1.0,Número de unidades locais
Acre,12,2012,"29 Fabricação de veículos automotores, reboques e carrocerias",4.0,Número de unidades locais
Acre,12,2013,Total,271.0,Número de unidades locais
Acre,12,2013,B Indústrias extrativas,3.0,Número de unidades locais
Acre,12,2013,C Indústrias de transformação,268.0,Número de unidades locais
Acre,12,2013,10 Fabricação de produtos alimentícios,77.0,Número de unidades locais
Acre,12,2013,20 Fabricação de produtos químicos,4.0,Número de unidades locais
Acre,12,2013,24 Metalurgia,2.0,Número de unidades locais
Acre,12,2013,"29 Fabricação de veículos automotores, reboques e carrocerias",9.0,Número de unidades locais
Acre,12,2014,Total,292.0,Número de unidades locais
Acre,12,2014,B Indústrias extrativas,4.0,Número de unidades locais
Acre,12,2014,C Indústrias de transformação,288.0,Número de unidades locais
Acre,12,2014,10 Fabricação de produtos alimentícios,95.0,Número de unidades locais
Acre,12,2014,20 Fabricação de produtos químicos,4.0,Número de unidades locais
Acre,12,2014,24 Metalurgia,2.0,Número de unidades locais
Acre,12,2014,"29 Fabricação de veículos automotores, reboques e carrocerias",8.0,Número de unidades locais
Acre,12,2015,Total,308.0,Número de unidades locais
Acre,12,2015,B Indústrias extrativas,8.0,Número de unidades locais
Acre,12,2015,C Indústrias de transformação,300.0,Número de unidades locais
Acre,12,2015,10 Fabricação de produtos alimentícios,101.0,Número de unidades locais
Acre,12,2015,20 Fabricação de produtos químicos,6.0,Número de unidades locais
Acre,12,2015,24 Metalurgia,1.0,Número de unidades locais
Acre,12,2015,"29 Fabricação de veículos automotores, reboques e carrocerias",6.0,Número de unidades locais
Acre,12,2016,Total,284.0,Número de unidades locais
Acre,12,2016,B Indústrias extrativas,7.0,Número de unidades locais
Acre,12,2016,C Indústrias de transformação,277.0,Número de unidades locais
Acre,12,2016,10 Fabricação de produtos alimentícios,88.0,Número de unidades locais
Acre,12,2016,20 Fabricação de produtos químicos,5.0,Número de unidades locais
Acre,12,2016,24 Metalurgia,2.0,Número de unidades locais
Acre,12,2016,"29 Fabricação de veículos automotores, reboques e carrocerias",7.0,Número de unidades locais
Acre,12,2017,Total,261.0,Número de unidades locais
Acre,12,2017,B Indústrias extrativas,4.0,Número de unidades locais
