UF,Unidades
São Paulo,61380.0
Minas Gerais,25904.0
Santa Catarina,21133.0
Paraná,19790.0
Rio Grande do Sul,19450.0
Rio de Janeiro,9688.0
Goiás,7656.0
Bahia,6507.0
Ceará,5889.0
Pernambuco,5649.0
Mato Grosso,3941.0
Espírito Santo,3572.0
Pará,2404.0
Rio Grande do Norte,2066.0
Mato Grosso do Sul,2055.0
Paraíba,1889.0
Distrito Federal,1408.0
Maranhão,1400.0
Piauí,1376.0
Rondônia,1272.0
Amazonas,1239.0
Sergipe,1131.0
Alagoas,1055.0
Tocantins,777.0
Acre,259.0
Amapá,216.0
Roraima,146.0
